1.9.213.114,4153
1.32.59.217,31981
103.150.110.202,9969
185.51.92.108,51327
193.29.62.48,36857
36.37.244.41,5678
120.29.153.250,5678
205.196.208.106,63585
67.205.11.255,50868
12.218.209.130,13326
115.127.83.58,9990
50.116.23.15,2635
208.113.221.182,61086
185.216.18.138,44550
188.166.234.144,43224
78.9.110.94,1080
89.189.174.121,35010
103.127.23.10,5678
181.209.96.226,4153
51.38.155.24,36971
190.3.72.38,3629
198.1.78.73,26899
77.225.177.14,10801
185.89.156.130,5678
139.255.86.226,5678
203.113.114.94,39417
110.93.206.62,5678
46.171.28.162,59311
81.16.1.71,5678
200.32.105.86,4153
46.173.35.229,3629
208.113.198.191,28853
198.12.252.88,47205
51.158.105.157,16379
188.75.186.152,4145
83.174.149.18,4145
209.145.59.247,3847
97.74.233.206,14016
185.129.250.183,36332
92.42.8.21,4145
210.245.51.230,9898
212.79.107.116,5678
51.178.19.189,18711
162.19.7.50,18715
188.226.7.249,5678
69.163.166.4,64097
143.137.116.142,1080
45.128.133.177,1080
163.172.169.27,16379
163.172.132.238,16379
208.113.154.48,59927
103.234.27.198,9990
103.234.27.162,1080
185.161.186.133,54321
103.234.27.170,1080
67.205.11.205,22762
103.84.178.193,4153
208.113.162.119,46221
173.236.183.125,24749
176.88.177.197,61080
208.113.162.90,55034
212.200.149.242,5678
200.170.196.94,1080
95.128.142.76,1080
67.213.210.167,43029
45.128.133.65,1080
14.161.14.106,5678
5.78.95.229,27352
205.196.222.139,32654
91.205.131.110,53339
81.12.104.35,3629
208.113.196.222,28853
181.209.77.204,4153
202.142.159.204,31026
5.161.98.204,45055
36.91.45.11,51299
173.236.173.31,49979
199.119.74.208,33333
69.163.216.57,60963
64.90.51.36,40743
208.113.173.15,40732
173.236.187.145,44013
190.0.15.18,5678
37.193.40.16,1080
64.111.126.85,14492
177.53.221.89,44196
207.244.246.147,61400
173.236.136.62,25918
45.184.183.9,4145
190.119.62.42,18
45.73.0.118,5678
119.148.31.202,9990
213.32.66.64,56637
212.83.143.118,56000
85.89.184.87,5678
173.236.169.226,44410
103.164.139.104,24572
23.105.170.33,62195
34.125.67.181,54764
173.236.173.159,42523
83.0.244.106,5678
46.188.2.42,5678
64.111.125.96,26922
173.236.180.21,43471
103.207.98.82,41238
117.4.242.216,5678
208.113.152.104,18089
202.131.159.26,5678
41.190.152.130,4673
103.213.118.46,1080
208.113.152.245,18089
212.83.142.149,50056
190.139.7.34,5678
67.205.12.108,46008
103.146.184.19,1085
64.111.125.28,45241
81.199.14.17,1088
212.33.242.249,1080
92.119.74.49,5678
94.232.125.200,5678
103.189.234.161,1080
148.77.34.200,54321
87.117.11.57,1080
117.2.46.2,5678
173.236.181.60,60546
208.113.173.166,17362
212.83.143.151,25364
179.27.86.36,4153
208.113.154.248,18089
